,fname,lname,tags,associations,subplots
293,Tim,Unes,{'class': 'g-list-item Trump Manafortindictment Fakenews Stolenemails Congress'},Campaign,"Manafort indictment, Fake news, Stolen emails"
294,Yuri,Ushakov,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts Manafortindictment Congress'},Russian,"The Steele dossier, Russia contacts, Manafort indictment"
295,Dennis,Vacco,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts'},Attorney,"Fake news, Stolen emails, Russia contacts"
296,Anton,Vaino,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts Manafortindictment Congress'},Russian,"The Steele dossier, Russia contacts, Manafort indictment"
297,Alex,Van Der Zwaan,{'class': 'g-list-item ForeignNational Manafortindictment MuellerInterest Guilty'},Lawyer,Manafort indictment
298,Brandon,Van Grack,{'class': 'g-list-item Mueller Flynnplea Russiacontacts'},Prosecutor,"Flynn plea, Russia contacts"
299,Gleb Igorevich,Vasilchenko,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
300,Vladimir,Venkov,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
301,Natalia,Veselnitskaya,{'class': 'g-list-item ForeignNational Russiacontacts TheSteeledossier Manafortindictment MuellerInterest Congress'},Russian,"Russia contacts, The Steele dossier, Manafort indictment"
302,Yevgeniy,ViktorovichPrigozhin,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Concord","Indicted, Fake news"
303,Olga,Vinogradova,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest'},"Russian, Campaign",Russia contacts
304,Katie,Walsh,{'class': 'g-list-item Trump Flynnplea MuellerInterest'},Administration,Flynn plea
305,Brian,Walsh,{'class': 'g-list-item Trump Manafortindictment MuellerInterest'},Administration,Manafort indictment
306,Debbie,Wasserman Schultz ,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails TheSteeledossier Congress'},DNC,"Stolen emails, The Steele dossier"
307,Vin,Weber,{'class': 'g-list-item Other Manafortindictment MuellerInterest'},Lobbyist,Manafort indictment
308,Allen,Weisselberg,{'class': 'g-list-item Trump Russiacontacts Congress'},Trump Org,Russia contacts
309,Andrew,Weissmann,{'class': 'g-list-item Mueller Manafortindictment Russiacontacts'},Prosecutor,"Manafort indictment, Russia contacts"
310,Curt,Weldon,{'class': 'g-list-item Other Fakenews Stolenemails Russiacontacts Congress'},Campaign,"Fake news, Stolen emails, Russia contacts"
311,Lanny,Wiles,{'class': 'g-list-item Other TheSteeledossier Russiacontacts Congress'},Campaign,"The Steele dossier, Russia contacts"
312,Rick,Wiley,{'class': 'g-list-item Trump Manafortindictment'},Campaign ,Manafort indictment
